,index,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,state,candidate_donor_weight
1368,3539,['H4TN05087'],C00561563,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-04-09,2014-04-09,2015-02-25,TN,1.0
1369,3552,['H8ME02136'],C00637702,H,House,[2018],P,Principal campaign committee,T,2017-04-15,2017-10-31,2017-11-02,ME,1.0
1370,3553,['H6CA03117'],C00576348,H,House,"[2016, 2018]",P,Principal campaign committee,T,2015-04-20,2015-04-20,2017-05-01,CA,1.0
1371,3554,['H4MI06105'],C00540856,H,House,"[2014, 2016, 2018]",A,Authorized by a candidate,T,2013-01-22,2015-08-16,2017-04-18,MI,1.0
1372,3555,['H4MI06105'],C00650614,H,House,[2018],P,Principal campaign committee,T,2017-07-17,2017-07-17,2018-10-23,MI,1.0
1373,3556,['S4NM00092'],C00553248,S,Senate,"[2014, 2016]",P,Principal campaign committee,T,2013-12-12,2014-10-03,2015-07-28,NM,1.0
1374,3557,['H8KS03130'],C00667345,H,House,[2018],P,Principal campaign committee,Q,2018-01-26,2018-01-26,2018-10-26,KS,1.0
1375,3558,['H2NC02162'],C00510586,H,House,[2012],P,Principal campaign committee,T,2012-01-26,2012-01-26,2012-10-01,NC,1.0
1376,3563,['H4SC03111'],C00616888,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-05-10,2016-05-10,2018-10-31,SC,1.0
1377,3565,['H2CA42148'],C00514323,H,House,[2012],P,Principal campaign committee,T,2012-02-29,2012-09-13,2012-09-19,CA,1.0
1378,3566,['P80005697'],C00520700,P,Presidential,[2012],P,Principal campaign committee,T,2012-05-07,2012-10-01,2012-10-05,NY,1.0
1379,3575,['H4WA04088'],C00558502,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-03-04,2015-01-21,2015-12-04,WA,1.0
1380,3576,['H4WA04088'],C00618009,H,House,"[2016, 2018]",P,Principal campaign committee,T,2016-05-23,2016-05-23,2017-01-17,WA,1.0
1381,3577,['H2CA20102'],C00505594,H,House,[2012],P,Principal campaign committee,T,2011-11-08,2012-03-13,2012-03-20,CA,1.0
1382,3578,['H8NC07093'],C00622076,H,House,[2016],A,Authorized by a candidate,T,2016-07-20,2016-07-20,2016-09-06,DC,1.0
1383,3580,['S6CA00774'],C00600742,S,Senate,[2016],P,Principal campaign committee,T,2015-12-28,2015-12-28,2016-08-05,CA,1.0
1384,3581,['H2NM03140'],C00505867,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2011-11-14,2011-11-15,2018-04-26,NM,1.0
1385,3582,['H8TX27049'],C00655332,H,House,[2018],P,Principal campaign committee,Q,2017-09-13,2017-09-13,2018-11-02,TX,1.0
1386,3589,['P60010634'],C00583955,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-08-20,2015-08-20,2018-04-26,OH,1.0
1387,3590,['H2NY15109'],C00505560,H,House,"[2012, 2016]",P,Principal campaign committee,T,2011-11-09,2012-03-23,2016-02-01,NY,1.0
1388,3593,['H6CO06017'],C00570754,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,T,2014-12-02,2016-02-26,2017-02-08,CO,1.0
1389,3597,['H8NC05089'],C00657502,H,House,[2018],P,Principal campaign committee,Q,2017-10-09,2017-10-09,2017-10-09,NC,1.0
1390,3598,['H4NC12134'],C00558106,H,House,"[2014, 2016]",P,Principal campaign committee,A,2014-02-25,2014-07-15,2016-11-03,NC,1.0
