race_type,top_candidates,date
house,"['handel', 'ossoff']",2017-06-19
house,"['handel', 'ossoff']",2017-06-19
house,"['saccone', 'lamb']",2018-01-08
house,"['saccone', 'lamb']",2018-02-15
house,"['saccone', 'lamb']",2018-02-18
house,"['lamb', 'saccone']",2018-03-05
house,"['saccone', 'lamb']",2018-03-07
house,"['lamb', 'saccone']",2018-03-12
house,"['bishop', 'slotkin']",2018-04-08
house,"['lesko', 'tipirneni']",2018-04-12
house,"['tipirneni', 'lesko']",2018-04-16
house,"['lesko', 'tipirneni']",2018-04-23
house,"['johnson', 'krebs']",2018-05-30
house,"['harkey', 'applegate']",2018-06-02
house,"['fitzpatrick', 'wallace']",2018-06-04
house,"['grimm', 'donovan']",2018-06-05
house,"['love', 'mcadams']",2018-06-06
house,"['balderson', ""o'connor""]",2018-06-11
house,"['balderson', ""o'connor""]",2018-06-17
house,"['williams', 'gianforte']",2018-06-19
house,"['ojeda', 'miller']",2018-06-20
house,"['donovan', 'grimm']",2018-06-22
house,"['wexton', 'comstock']",2018-06-26
house,"['sherrill', 'webber']",2018-06-27
house,"['love', 'mcadams']",2018-06-28
house,"['mccready', 'harris']",2018-07-11
house,"['rouda', 'rohrabacher']",2018-07-17
house,"['lamb', 'rothfus']",2018-07-24
house,"['balderson', ""o'connor""]",2018-08-01
house,"[""o'connor"", 'balderson']",2018-08-06
house,"['kim', 'macarthur']",2018-08-14
house,"['katko', 'balter']",2018-08-27
house,"['hunter', 'campa-najjar']",2018-08-27
house,"['brindisi', 'tenney']",2018-08-29
house,"['faso', 'delgado']",2018-08-30
house,"['bost', 'kelly']",2018-09-07
house,"['roskam', 'casten']",2018-09-07
house,"['rouda', 'rohrabacher']",2018-09-07
house,"['love', 'mcadams']",2018-09-07
house,"['barr', 'mcgrath']",2018-09-08
house,"['radinovich', 'stauber']",2018-09-09
house,"['phillips', 'paulsen']",2018-09-10
house,"['finkenauer', 'blum']",2018-09-10
house,"['loebsack', 'peters']",2018-09-10
house,"['young', 'axne']",2018-09-10
house,"['young', 'axne']",2018-09-10
house,"['miller', 'ojeda']",2018-09-11
house,"['miller', 'ojeda']",2018-09-11
house,"['hurd', 'ortiz jones']",2018-09-12
house,"['delgado', 'faso']",2018-09-12
house,"['wild', 'nothstein']",2018-09-13
house,"['brat', 'spanberger']",2018-09-13
house,"['coleman', 'holding']",2018-09-13
house,"['steil', 'bryce']",2018-09-14
house,"['crow', 'coffman']",2018-09-15
house,"['poliquin', 'golden']",2018-09-15
house,"['davis', 'watkins']",2018-09-16
house,"['haaland', 'arnold-jones']",2018-09-16
house,"['herrell', 'small']",2018-09-16
house,"['ojeda', 'miller']",2018-09-17
house,"['kim', 'cisneros']",2018-09-18
house,"['curbelo', 'mucarsel-powell']",2018-09-18
house,"['culberson', 'fletcher']",2018-09-19
house,"['small', 'herrell']",2018-09-19
house,"['van drew', 'grossman']",2018-09-19
house,"['malinowski', 'lance']",2018-09-20
house,"['knight', 'hill']",2018-09-20
house,"['finkenauer', 'blum']",2018-09-21
house,"['davids', 'yoder']",2018-09-24
house,"['levin', 'harkey']",2018-09-24
house,"['sessions', 'allred']",2018-09-25
house,"['gianforte', 'williams']",2018-09-25
house,"['brat', 'spanberger']",2018-09-25
house,"['craig', 'lewis']",2018-09-26
house,"['valadao', 'cox']",2018-09-26
house,"['wild', 'nothstein']",2018-09-26
house,"['porter', 'walters']",2018-09-26
house,"['bacon', 'eastman']",2018-09-27
house,"['kim', 'macarthur']",2018-09-27
house,"['schrier', 'rossi']",2018-09-27
house,"['hunter', 'campa-najjar']",2018-09-27
house,"['nunes', 'janz']",2018-09-27
house,"['davis', 'watkins']",2018-10-01
house,"['davids', 'yoder']",2018-10-01
house,"['axne', 'young']",2018-10-01
house,"['chabot', 'pureval']",2018-10-02
house,"['wexton', 'comstock']",2018-10-02
house,"['russell', 'horn']",2018-10-02
house,"['fitzpatrick', 'wallace']",2018-10-03
house,"['perry', 'scott']",2018-10-03
house,"['phillips', 'paulsen']",2018-10-03
house,"['bishop', 'slotkin']",2018-10-04
house,"['kirkpatrick', 'peterson']",2018-10-04
house,"['craig', 'lewis']",2018-10-04
house,"['taylor', 'luria']",2018-10-04
house,"['wexton', 'comstock']",2018-10-04
house,"['buchanan', 'shapiro']",2018-10-04
house,"['cisneros', 'kim']",2018-10-05
house,"['porter', 'walters']",2018-10-05
house,"['rouda', 'rohrabacher']",2018-10-05
house,"['levin', 'harkey']",2018-10-05
house,"['harder', 'denham']",2018-10-05
house,"['hill', 'knight']",2018-10-05
house,"['hunter', 'campa-najjar']",2018-10-05
house,"['nunes', 'janz']",2018-10-05
house,"['harris', 'mccready']",2018-10-06
house,"['stevens', 'epstein']",2018-10-08
house,"['mccready', 'harris']",2018-10-08
house,"['budd', 'manning']",2018-10-08
house,"['hultgren', 'underwood']",2018-10-09
house,"['zeldin', 'gershon']",2018-10-09
house,"['wexton', 'comstock']",2018-10-09
