,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Unnamed: 0,Year
181,Iowa Governor - Branstad vs. Culver,PPP (D),"Branstad 52, Culver 37",Branstad +15,2010-06-03,518.0,2010.0
182,Nevada Governor - Gibbons vs. Reid,R2000/Daily Kos (D),"Reid 52, Gibbons 31",Reid +21,2010-06-03,521.0,2010.0
183,Nevada Governor - Sandoval vs. Reid,R2000/Daily Kos (D),"Sandoval 51, Reid 41",Sandoval +10,2010-06-03,522.0,2010.0
184,Nevada Governor - Republican Primary,R2000/Daily Kos (D),"Sandoval 48, Gibbons 27",Sandoval +21,2010-06-03,523.0,2010.0
185,Nevada Governor - Republican Primary,Suffolk University,"Sandoval 47, Gibbons 25",Sandoval +22,2010-06-03,524.0,2010.0
186,Iowa Governor - Vander Plaats vs. Culver,PPP (D),"Vander Plaats 43, Culver 38",Vander Plaats +5,2010-06-03,527.0,2010.0
187,Iowa Governor - Branstad vs. Culver,Research 2000,"Branstad 51, Culver 42",Branstad +9,2010-06-03,528.0,2010.0
188,Michigan Governor - Democratic Primary,EPIC-MRA,"Dillon 29, Bernero 23",Dillon +6,2010-06-03,529.0,2010.0
189,Michigan Governor - Republican Primary,EPIC-MRA,"Hoekstra 30, Snyder 17, Cox 18, Bouchard 16",Hoekstra +12,2010-06-03,530.0,2010.0
190,Michigan Governor - Hoekstra vs. Bernero,EPIC-MRA,"Hoekstra 47, Bernero 34",Hoekstra +13,2010-06-03,534.0,2010.0
191,Michigan Governor - Snyder vs. Bernero,EPIC-MRA,"Snyder 51, Bernero 28",Snyder +23,2010-06-03,535.0,2010.0
192,Michigan Governor - Bouchard vs. Bernero,EPIC-MRA,"Bouchard 48, Bernero 32",Bouchard +16,2010-06-03,536.0,2010.0
193,Michigan Governor - Snyder vs. Dillon,EPIC-MRA,"Snyder 50, Dillon 31",Snyder +19,2010-06-03,537.0,2010.0
194,Michigan Governor - Bouchard vs. Dillon,EPIC-MRA,"Bouchard 49, Dillon 33",Bouchard +16,2010-06-03,538.0,2010.0
