,date,party,name,chamber,state,district
61,2016-11-08,r,ed royce,house,CA,39
62,2016-11-08,d,lucille roybalallard,house,CA,40
63,2016-11-08,d,mark takano,house,CA,41
64,2016-11-08,r,ken calvert,house,CA,42
65,2016-11-08,d,maxine waters,house,CA,43
66,2016-11-08,d,nanette barragan,house,CA,44
67,2016-11-08,r,mimi walters,house,CA,45
68,2016-11-08,d,lou correa,house,CA,46
69,2016-11-08,d,alan lowenthal,house,CA,47
70,2016-11-08,r,dana rohrabacher,house,CA,48
71,2016-11-08,r,darrell issa,house,CA,49
72,2016-11-08,r,duncan d hunter,house,CA,50
73,2016-11-08,d,juan vargas,house,CA,51
74,2016-11-08,d,scott peters,house,CA,52
75,2016-11-08,d,susan davis,house,CA,53
76,2016-11-08,d,diana degette,house,CO,1
77,2016-11-08,d,jared polis,house,CO,2
78,2016-11-08,r,scott tipton,house,CO,3
79,2016-11-08,r,ken buck,house,CO,4
80,2016-11-08,r,doug lamborn,house,CO,5
81,2016-11-08,r,mike coffman,house,CO,6
82,2016-11-08,d,ed perlmutter,house,CO,7
83,2016-11-08,d,john b larson,house,CT,1
84,2016-11-08,d,joe courtney,house,CT,2
85,2016-11-08,d,rosa delauro,house,CT,3
86,2016-11-08,d,jim himes,house,CT,4
87,2016-11-08,d,elizabeth esty,house,CT,5
88,2016-11-08,d,lisa blunt rochester,house,DE,0
89,2016-11-08,r,matt gaetz,house,FL,1
90,2016-11-08,r,neal dunn,house,FL,2
91,2016-11-08,r,ted yoho,house,FL,3
92,2016-11-08,r,john rutherford,house,FL,4
93,2016-11-08,d,al lawson,house,FL,5
94,2016-11-08,r,ron desantis,house,FL,6
95,2016-11-08,d,stephanie murphy,house,FL,7
96,2016-11-08,r,bill posey,house,FL,8
97,2016-11-08,d,darren soto,house,FL,9
98,2016-11-08,d,val demings,house,FL,10
99,2016-11-08,r,daniel webster,house,FL,11
100,2016-11-08,r,gus bilirakis,house,FL,12
101,2016-11-08,d,charlie crist,house,FL,13
102,2016-11-08,d,kathy castor,house,FL,14
103,2016-11-08,r,dennis a ross,house,FL,15
104,2016-11-08,r,vern buchanan,house,FL,16
105,2016-11-08,r,tom rooney,house,FL,17
106,2016-11-08,r,brian mast,house,FL,18
107,2016-11-08,r,francis rooney,house,FL,19
108,2016-11-08,d,alcee hastings,house,FL,20
109,2016-11-08,d,lois frankel,house,FL,21
110,2016-11-08,d,ted deutch,house,FL,22
111,2016-11-08,d,debbie wasserman schultz,house,FL,23
112,2016-11-08,d,frederica wilson,house,FL,24
113,2016-11-08,r,mario diazbalart,house,FL,25
114,2016-11-08,r,carlos curbelo,house,FL,26
115,2016-11-08,r,ileana roslehtinen,house,FL,27
116,2016-11-08,r,buddy carter,house,GA,1
117,2016-11-08,d,sanford bishop,house,GA,2
118,2016-11-08,r,drew ferguson,house,GA,3
119,2016-11-08,d,hank johnson,house,GA,4
120,2016-11-08,d,john lewis,house,GA,5
121,2016-11-08,r,tom price,house,GA,6
122,2017-06-20,r,karen handel,house,GA,6
123,2016-11-08,r,rob woodall,house,GA,7
124,2016-11-08,r,austin scott,house,GA,8
125,2016-11-08,r,doug collins,house,GA,9
126,2016-11-08,r,jody hice,house,GA,10
127,2016-11-08,r,barry loudermilk,house,GA,11
128,2016-11-08,r,rick w allen,house,GA,12
129,2016-11-08,d,david scott,house,GA,13
130,2016-11-08,r,tom graves,house,GA,14
131,2016-11-08,d,colleen hanabusa,house,HI,1
132,2016-11-08,d,tulsi gabbard,house,HI,2
133,2016-11-08,r,raul labrador,house,ID,1
134,2016-11-08,r,mike simpson,house,ID,2
135,2016-11-08,d,bobby rush,house,IL,1
136,2016-11-08,d,robin kelly,house,IL,2
137,2016-11-08,d,dan lipinski,house,IL,3
138,2016-11-08,d,luis gutierrez,house,IL,4
139,2016-11-08,d,mike quigley,house,IL,5
140,2016-11-08,r,peter roskam,house,IL,6
141,2016-11-08,d,danny k davis,house,IL,7
142,2016-11-08,d,raja krishnamoorthi,house,IL,8
143,2016-11-08,d,jan schakowsky,house,IL,9
144,2016-11-08,d,brad schneider,house,IL,10
145,2016-11-08,d,bill foster,house,IL,11
146,2016-11-08,r,mike bost,house,IL,12
147,2016-11-08,r,rodney davis,house,IL,13
148,2016-11-08,r,randy hultgren,house,IL,14
149,2016-11-08,r,john shimkus,house,IL,15
150,2016-11-08,r,adam kinzinger,house,IL,16
151,2016-11-08,d,cheri bustos,house,IL,17
152,2016-11-08,r,darin lahood,house,IL,18
153,2016-11-08,d,pete visclosky,house,IN,1
154,2016-11-08,r,jackie walorski,house,IN,2
155,2016-11-08,r,jim banks,house,IN,3
156,2016-11-08,r,todd rokita,house,IN,4
157,2016-11-08,r,susan brooks,house,IN,5
158,2016-11-08,r,luke messer,house,IN,6
159,2016-11-08,d,andre carson,house,IN,7
160,2016-11-08,r,larry bucshon,house,IN,8
161,2016-11-08,r,trey hollingsworth,house,IN,9
162,2016-11-08,r,rod blum,house,IA,1
163,2016-11-08,d,dave loebsack,house,IA,2
164,2016-11-08,r,david young,house,IA,3
165,2016-11-08,r,steve king,house,IA,4
166,2016-11-08,r,roger marshall,house,KS,1
167,2016-11-08,r,lynn jenkins,house,KS,2
168,2016-11-08,r,kevin yoder,house,KS,3
169,2016-11-08,r,mike pompeo,house,KS,4
170,2017-04-11,r,ron estes,house,KS,4
171,2016-11-08,r,james comer,house,KY,1
172,2016-11-08,r,brett guthrie,house,KY,2
173,2016-11-08,d,john yarmuth,house,KY,3
174,2016-11-08,r,thomas massie,house,KY,4
175,2016-11-08,r,hal rogers,house,KY,5
176,2016-11-08,r,andy barr,house,KY,6
177,2016-11-08,r,steve scalise,house,LA,1
178,2016-11-08,d,cedric richmond,house,LA,2
179,2016-11-08,r,clay higgins,house,LA,3
180,2016-11-08,r,mike johnson,house,LA,4
181,2016-11-08,r,ralph abraham,house,LA,5
182,2016-11-08,r,garret graves,house,LA,6
183,2016-11-08,d,chellie pingree,house,ME,1
184,2016-11-08,r,bruce poliquin,house,ME,2
185,2016-11-08,r,andy harris,house,MD,1
186,2016-11-08,d,dutch ruppersberger,house,MD,2
187,2016-11-08,d,john sarbanes,house,MD,3
188,2016-11-08,d,anthony g brown,house,MD,4
189,2016-11-08,d,steny hoyer,house,MD,5
190,2016-11-08,d,john delaney,house,MD,6
191,2016-11-08,d,elijah cummings,house,MD,7
192,2016-11-08,d,jamie raskin,house,MD,8
193,2016-11-08,d,richard neal,house,MA,1
194,2016-11-08,d,jim mcgovern,house,MA,2
195,2016-11-08,d,niki tsongas,house,MA,3
196,2016-11-08,d,joseph p kennedy iii,house,MA,4
197,2016-11-08,d,katherine clark,house,MA,5
198,2016-11-08,d,seth moulton,house,MA,6
199,2016-11-08,d,mike capuano,house,MA,7
200,2016-11-08,d,stephen f lynch,house,MA,8
201,2016-11-08,d,bill keating,house,MA,9
202,2016-11-08,r,jack bergman,house,MI,1
203,2016-11-08,r,bill huizenga,house,MI,2
204,2016-11-08,r,justin amash,house,MI,3
205,2016-11-08,r,john moolenaar,house,MI,4
206,2016-11-08,d,dan kildee,house,MI,5
207,2016-11-08,r,fred upton,house,MI,6
208,2016-11-08,r,tim walberg,house,MI,7
209,2016-11-08,r,mike bishop,house,MI,8
210,2016-11-08,d,sander levin,house,MI,9
211,2016-11-08,r,paul mitchell,house,MI,10
212,2016-11-08,r,dave trott,house,MI,11
213,2016-11-08,d,debbie dingell,house,MI,12
214,2016-11-08,d,john conyers,house,MI,13
215,2016-11-08,d,brenda lawrence,house,MI,14
216,2016-11-08,d,tim walz,house,MN,1
217,2016-11-08,r,jason lewis,house,MN,2
218,2016-11-08,r,erik paulsen,house,MN,3
219,2016-11-08,d,betty mccollum,house,MN,4
220,2016-11-08,d,keith ellison,house,MN,5
221,2016-11-08,r,tom emmer,house,MN,6
222,2016-11-08,d,collin peterson,house,MN,7
223,2016-11-08,d,rick nolan,house,MN,8
224,2016-11-08,r,trent kelly,house,MS,1
225,2016-11-08,d,bennie thompson,house,MS,2
226,2016-11-08,r,gregg harper,house,MS,3
227,2016-11-08,r,steven palazzo,house,MS,4
228,2016-11-08,d,lacy clay,house,MO,1
229,2016-11-08,r,ann wagner,house,MO,2
230,2016-11-08,r,blaine luetkemeyer,house,MO,3
231,2016-11-08,r,vicky hartzler,house,MO,4
232,2016-11-08,d,emanuel cleaver,house,MO,5
233,2016-11-08,r,sam graves,house,MO,6
234,2016-11-08,r,billy long,house,MO,7
235,2016-11-08,r,jason t smith,house,MO,8
236,2016-11-08,r,ryan zinke,house,MT,0
237,2017-05-25,r,greg gianforte,house,MT,0
238,2016-11-08,r,jeff fortenberry,house,NE,1
239,2016-11-08,r,don bacon,house,NE,2
240,2016-11-08,r,adrian smith,house,NE,3
241,2016-11-08,d,dina titus,house,NV,1
242,2016-11-08,r,mark amodei,house,NV,2
243,2016-11-08,d,jacky rosen,house,NV,3
244,2016-11-08,d,ruben kihuen,house,NV,4
245,2016-11-08,d,carol sheaporter,house,NH,1
246,2016-11-08,d,ann mclane kuster,house,NH,2
