,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
204,Nevada Governor - Republican Primary,LVRJ/Mason-Dixon,"Sandoval 47, Gibbons 33",14,2010-06-06,2010,10.0
205,Iowa Governor - Republican Primary,Des Moines Register,"Branstad 57, Vander Plaats 29, Roberts 8",28,2010-06-06,2010,0.0
206,California Governor - Republican Primary,Magellan Strategies (R),"Whitman 64, Poizner 22",42,2010-06-07,2010,7.0
207,Ohio Governor - Kasich vs. Strickland,Rasmussen Reports,"Strickland 42, Kasich 47",5,2010-06-07,2010,7.0
208,South Carolina Governor - Republican Primary,PPP (D),"Haley 43, Barrett 23, McMaster 16, Bauer 12",20,2010-06-07,2010,9.0
209,Pennsylvania Governor - Corbett vs. Onorato,Rasmussen Reports,"Corbett 49, Onorato 33",16,2010-06-07,2010,7.0
210,California Governor - Republican Primary,SurveyUSA,"Whitman 59, Poizner 30",29,2010-06-08,2010,12.0
211,Florida Governor - McCollum vs. Sink vs. Chiles,Quinnipiac,"McCollum 33, Sink 25, Chiles 19",8,2010-06-09,2010,11.0
212,Florida Governor - Scott vs. Sink vs. Chiles,Quinnipiac,"Scott 35, Sink 26, Chiles 13",9,2010-06-09,2010,11.0
213,Alabama Governor - Byrne vs. Sparks,Rasmussen Reports,"Byrne 49, Sparks 40",9,2010-06-09,2010,7.0
214,Alabama Governor - Bentley vs. Sparks,Rasmussen Reports,"Bentley 56, Sparks 37",19,2010-06-09,2010,7.0
215,Florida Governor - Republican Primary,Quinnipiac,"Scott 44, McCollum 31",13,2010-06-10,2010,11.0
216,Connecticut Governor - Democratic Primary,Quinnipiac,"Lamont 39, Malloy 22",17,2010-06-10,2010,11.0
