Date,State,Race,Poll,Result,Spread,Year,Lead,Party,Party Class
2012-10-29,Florida,Florida Senate - Mack vs. Nelson,Sunshine State News/VSS,"Nelson 49, Mack 44",Nelson +5,2012,Nelson,D,1.0
2012-10-29,Florida,Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 49, Mack 46",Nelson +3,2012,Nelson,D,1.0
2012-10-30,Florida,Florida Senate - Mack vs. Nelson,SurveyUSA,"Nelson 49, Mack 41",Nelson +8,2012,Nelson,D,1.0
2012-10-31,Florida,Florida Senate - Mack vs. Nelson,CBS/NYT/Quinnipiac,"Nelson 52, Mack 39",Nelson +13,2012,Nelson,D,1.0
2012-10-31,Florida,Florida Senate - Mack vs. Nelson,Gravis Marketing,"Nelson 49, Mack 46",Nelson +3,2012,Nelson,D,1.0
2012-11-03,Florida,Florida Senate - Mack vs. Nelson,NBC/WSJ/Marist,"Nelson 52, Mack 43",Nelson +9,2012,Nelson,D,1.0
2012-11-04,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 51, Mack 46",Nelson +5,2012,Nelson,D,1.0
2012-11-04,Florida,Florida Senate - Mack vs. Nelson,TBT/Herald/Mason-Dixon,"Nelson 49, Mack 43",Nelson +6,2012,Nelson,D,1.0
2017-10-24,Florida,Florida Senate - Scott vs. Nelson,UNF,"Scott 36, Nelson 37",Nelson +1,2017,Nelson,D,1.0
2018-02-07,Florida,Florida Senate - Scott vs. Nelson,UNF,"Nelson 48, Scott 42",Nelson +6,2018,Nelson,D,1.0
2018-02-08,Florida,Florida Senate - Scott vs. Nelson,Mason-Dixon,"Nelson 45, Scott 44",Nelson +1,2018,Nelson,D,1.0
2018-02-20,Florida,Florida Senate - Scott vs. Nelson,Gravis,"Nelson 44, Scott 40",Nelson +4,2018,Nelson,D,1.0
2018-02-27,Florida,Florida Senate - Scott vs. Nelson,Quinnipiac,"Nelson 46, Scott 42",Nelson +4,2018,Nelson,D,1.0
2018-03-20,Florida,Florida Senate - Scott vs. Nelson,Gravis,"Nelson 44, Scott 40",Nelson +4,2018,Nelson,D,1.0
2018-06-26,Florida,Florida Senate - Scott vs. Nelson,NBC News/Marist,"Scott 45, Nelson 49",Nelson +4,2018,Nelson,D,1.0
2018-07-16,Florida,Florida Senate - Scott vs. Nelson,Gravis,"Scott 43, Nelson 47",Nelson +4,2018,Nelson,D,1.0
2018-09-13,Florida,Florida Senate - Scott vs. Nelson,Rasmussen Reports,"Nelson 45, Scott 44",Nelson +1,2018,Nelson,D,1.0
2018-09-25,Florida,Florida Senate - Scott vs. Nelson,NBC News/Marist,"Nelson 48, Scott 45",Nelson +3,2018,Nelson,D,1.0
2018-09-25,Florida,Florida Senate - Scott vs. Nelson,Quinnipiac,"Nelson 53, Scott 46",Nelson +7,2018,Nelson,D,1.0
